Player,position_clean,Age,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank
Bijan Robinson,RB,24.4,9999,8027.4,9407.5,18.760784149169922,3.0,Unclassified,99
Josh Allen,QB,30.1,9996,10000.0,9997.2,24.676687240600586,4.0,Unclassified,99
Ja'Marr Chase,WR,26.3,9979,10000.0,9985.3,21.159181594848633,4.0,Unclassified,99
Jahmyr Gibbs,RB,24.3,9911,8489.2,9484.5,19.840087890625,3.0,Unclassified,99
Jaxon Smith-Njigba,WR,24.4,9587,6968.5,8801.4,14.744705200195312,3.0,Unclassified,99
Drake Maye,QB,23.8,9421,7442.7,8827.5,18.366071701049805,2.0,Unclassified,99
Puka Nacua,WR,25.1,8746,9485.9,8968.0,20.071449279785156,3.0,Unclassified,99
Brock Bowers,TE,23.5,8133,9338.4,8494.6,14.984804153442383,2.0,Unclassified,99
Caleb Williams,QB,24.6,8039,7018.0,7732.7,17.318204879760742,2.0,Unclassified,99
Amon-Ra St. Brown,WR,26.7,7910,9491.0,8384.3,20.08208656311035,4.0,Unclassified,99
Jayden Daniels,QB,25.5,7829,7753.1,7806.2,19.132143020629883,2.0,Unclassified,99
Ashton Jeanty,RB,22.6,7673,6169.0,7221.8,14.417647361755371,1.0,Unclassified,99
Justin Jefferson,WR,27.0,7612,9400.7,8148.6,19.891111373901367,4.0,Unclassified,99
Lamar Jackson,QB,29.5,7602,9154.3,8067.7,22.58988380432129,4.0,Unclassified,99
Jeremiyah Love,RB,21.1,7602,2280.6,6005.6,0.0,0.0,Unclassified,99
Malik Nabers,WR,22.9,7461,8557.4,7789.9,18.106666564941406,1.0,Unclassified,99
Joe Burrow,QB,29.6,7455,8443.8,7751.6,20.83638572692871,4.0,Unclassified,99
Trey McBride,TE,26.6,7344,9243.2,7913.8,14.832107543945312,4.0,Unclassified,99
CeeDee Lamb,WR,27.2,7228,9316.9,7854.7,19.71385955810547,4.0,Unclassified,99
Drake London,WR,24.9,7180,7063.1,7144.9,14.944881439208984,4.0,Unclassified,99
Justin Herbert,QB,28.3,6989,7321.2,7088.7,18.066356658935547,4.0,Unclassified,99
De'Von Achane,RB,24.7,6847,7725.3,7110.5,18.054697036743164,3.0,Unclassified,99
Omarion Hampton,RB,23.3,6846,6451.5,6727.6,15.077777862548828,1.0,Unclassified,99
Patrick Mahomes,QB,30.8,6646,8662.7,7251.0,21.376571655273438,4.0,Unclassified,99
Tetairoa McMillan,WR,23.2,6557,5944.4,6373.2,12.577777862548828,1.0,Unclassified,99
Jaxson Dart,QB,23.1,6449,7695.8,6823.0,18.99077033996582,1.0,Unclassified,99
Trevor Lawrence,QB,26.7,6357,7667.0,6750.0,18.91973114013672,4.0,Unclassified,99
Colston Loveland,TE,22.2,6222,7199.7,6515.3,11.552940368652344,1.0,Unclassified,99
Jalen Hurts,QB,27.9,6164,9388.7,7131.4,23.168283462524414,4.0,Unclassified,99
Bo Nix,QB,26.3,6079,7633.8,6545.4,18.83777618408203,2.0,Unclassified,99
