name,position,nfl_team,age,owner,on_taxi,KTC Value,multi_year_prod_score,combined_score,avg_ppg,n_seasons,tier,tier_rank,is_my_team
Cam Ward,QB,TEN,24,ekleiner1123,False,5428.0,4950.1,5284.6,12.215293884277344,1.0,Upside Premier,3,True
T.J. Hockenson,TE,MIN,28,ekleiner1123,False,2784.0,7738.1,4270.2,12.417003631591797,4.0,Mainstay,4,True
Isaiah Davis,RB,NYJ,24,ekleiner1123,False,1844.0,2148.6,1935.4,5.02142858505249,2.0,Jag Insurance,11,True
Kaleb Johnson,RB,PIT,22,ekleiner1123,False,2390.0,427.9,1801.4,1.0,1.0,Jag Developmental,10,True
Ja'Kobi Lane,WR,BAL,22,ekleiner1123,False,2385.0,715.5,1884.2,0.0,0.0,Jag Developmental,10,True
Jonah Coleman,RB,DEN,22,ekleiner1123,False,3148.0,944.4,2486.9,0.0,0.0,Jag Developmental,10,True
Ricky Pearsall,WR,SF,25,ekleiner1123,False,3444.0,5088.1,3937.2,10.765972137451172,2.0,Serviceable,9,True
Christian Watson,WR,GB,27,ekleiner1123,False,3751.0,5431.2,4255.1,11.491991996765137,4.0,Mainstay,4,True
Tyjae Spears,RB,TEN,24,ekleiner1123,False,2590.0,3866.1,2972.8,9.035344123840332,3.0,Serviceable,9,True
Troy Franklin,WR,DEN,23,ekleiner1123,False,2654.0,3745.4,2981.4,7.924999713897705,2.0,Jag Developmental,10,True
Drew Allar,QB,PIT,22,ekleiner1123,True,1590.0,477.0,1256.1,0.0,0.0,Replaceable,12,True
Carnell Tate,WR,TEN,21,ekleiner1123,False,5899.0,1769.7,4660.2,0.0,0.0,Upside Premier,3,True
Mark Andrews,TE,BAL,30,ekleiner1123,False,2748.0,7739.9,4245.6,12.419875144958496,4.0,Serviceable,9,True
KC Concepcion,WR,CLE,21,ekleiner1123,False,4522.0,1356.6,3572.4,0.0,0.0,Jag Developmental,10,True
Tetairoa McMillan,WR,CAR,23,ekleiner1123,False,6540.0,5944.4,6361.3,12.577777862548828,1.0,Foundational,2,True
Antonio Williams,WR,WAS,21,ekleiner1123,False,2992.0,897.6,2363.7,0.0,0.0,Jag Developmental,10,True
Terrance Ferguson,TE,LAR,23,ekleiner1123,True,2623.0,4284.4,3121.4,6.875,1.0,Upside Shot,7,True
Kayshon Boutte,WR,NE,24,ekleiner1123,False,2626.0,4055.9,3055.0,8.581960678100586,2.0,Serviceable,9,True
Kyren Williams,RB,LAR,25,ekleiner1123,False,4834.0,7545.1,5647.3,17.63364601135254,4.0,Mainstay,4,True
Tyrone Tracy,RB,NYG,26,ekleiner1123,False,2666.0,4616.2,3251.1,10.788431167602539,2.0,Serviceable,9,True
Jalen Royals,WR,KC,23,ekleiner1123,True,1862.0,558.6,1471.0,0.0,0.0,Replaceable,12,True
Isaac TeSlaa,WR,DET,24,ekleiner1123,False,2811.0,3985.7,3163.4,8.433333396911621,1.0,Serviceable,9,True
Trey McBride,TE,ARI,26,ekleiner1123,False,7556.0,9243.2,8062.2,14.832107543945312,4.0,Cornerstone,1,True
Jonathon Brooks,RB,CAR,22,ekleiner1123,False,3203.0,960.9,2530.4,0.0,0.0,Upside Shot,7,True
Drake Maye,QB,NE,23,ekleiner1123,False,9374.0,7442.7,8794.6,18.366071701049805,2.0,Cornerstone,1,True
Puka Nacua,WR,LAR,25,ekleiner1123,False,8609.0,9485.9,8872.1,20.071449279785156,3.0,Cornerstone,1,True
Jayden Higgins,WR,HOU,23,ekleiner1123,False,3404.0,3893.8,3550.9,8.23888874053955,1.0,Upside Shot,7,True
Tyler Allgeier,RB,ARI,26,ekleiner1123,False,2744.0,3572.7,2992.6,8.34975528717041,4.0,Serviceable,9,True
Rome Odunze,WR,CHI,24,ekleiner1123,False,5401.0,4930.3,5259.8,10.432126998901367,2.0,Upside Premier,3,True
Jahmyr Gibbs,RB,DET,24,ekleiner1123,False,9679.0,8489.2,9322.1,19.840087890625,3.0,Cornerstone,1,True
Kyle Williams,WR,NE,23,ekleiner1123,False,2416.0,2495.4,2439.8,5.279999732971191,1.0,Jag Developmental,10,True
Elic Ayomanor,WR,TEN,23,ekleiner1123,False,2602.0,3441.2,2853.8,7.28125,1.0,Serviceable,9,True
Bryce Young,QB,CAR,24,ekleiner1123,False,4469.0,5624.9,4815.8,13.880367279052734,3.0,Upside Shot,7,True
Josh Downs,WR,IND,24,ekleiner1123,False,3610.0,4861.8,3985.5,10.287238121032715,3.0,Serviceable,9,True
