owner,QB,RB,TE,WR,total_player_value,QB_pct,RB_pct,WR_pct,TE_pct,flex_pct,onesie_pct
Akracoon,22428.0,17989.0,8758.0,27495.0,76670.0,29.3,23.5,35.9,11.4,59.4,40.7
GiantHawkTua,24082.0,38766.0,13630.0,35564.0,112042.0,21.5,34.6,31.7,12.2,66.3,33.7
GreyWaedekin27,21183.0,33713.0,5303.0,28646.0,88845.0,23.8,37.9,32.2,6.0,70.1,29.8
Herschey6153,25236.0,18824.0,5029.0,39080.0,88169.0,28.6,21.3,44.3,5.7,65.6,34.300000000000004
SvenMoney34,27401.0,27896.0,16469.0,51149.0,122915.0,22.3,22.7,41.6,13.4,64.3,35.7
ekleiner1123,20861.0,33098.0,15711.0,65528.0,135198.0,15.4,24.5,48.5,11.6,73.0,27.0
gavinw20,27078.0,29910.0,18523.0,35173.0,110684.0,24.5,27.0,31.8,16.7,58.8,41.2
jsinykin,17720.0,15124.0,12500.0,53898.0,99242.0,17.9,15.2,54.3,12.6,69.5,30.5
nchernandez19,13483.0,23520.0,20651.0,26857.0,84511.0,16.0,27.8,31.8,24.4,59.6,40.4
sethfriedman12,8532.0,29358.0,10152.0,37490.0,85532.0,10.0,34.3,43.8,11.9,78.1,21.9
