owner,QB_grade,QB_starter_value,QB_depth_value,QB_n_starters,QB_n_bench,QB_top_player,QB_top_score,RB_grade,RB_starter_value,RB_depth_value,RB_n_starters,RB_n_bench,RB_top_player,RB_top_score,WR_grade,WR_starter_value,WR_depth_value,WR_n_starters,WR_n_bench,WR_top_player,WR_top_score,TE_grade,TE_starter_value,TE_depth_value,TE_n_starters,TE_n_bench,TE_top_player,TE_top_score,total_grade,rank
SvenMoney34,6506.1,7441.8,4322.6,2,3,Jayden Daniels,7800.6,5735.6,6919.4,2973.3,2,5,De'Von Achane,7119.6,6598.1,7969.1,3399.1,4,6,Ja'Marr Chase,9989.5,5494.4,6515.3,3112.3,1,4,Colston Loveland,6515.3,6134.1,1
ekleiner1123,5841.1,7018.2,3094.4,2,2,Drake Maye,8817.7,6109.0,7575.7,2686.6,2,6,Jahmyr Gibbs,9487.3,5337.1,6305.5,3077.3,4,12,Puka Nacua,8967.3,6706.6,7916.6,3883.3,1,3,Trey McBride,7916.6,5955.2,2
gavinw20,7169.6,8263.2,4617.8,2,3,Josh Allen,9990.9,5750.5,6748.6,3421.6,2,5,Ashton Jeanty,7221.8,4591.3,5369.8,2774.8,4,7,Garrett Wilson,6084.1,4676.3,5451.8,2866.8,1,5,Sam LaPorta,5451.8,5671.6,3
GiantHawkTua,5985.4,7441.8,2587.2,2,4,Joe Burrow,7752.3,5069.3,6016.2,2859.6,3,8,Jonathan Taylor,6519.8,6174.5,7314.4,3514.5,2,7,Amon-Ra St. Brown,8383.6,5066.7,5562.2,3910.5,2,1,Tyler Warren,6169.4,5619.9,4
Herschey6153,6501.3,7665.6,3784.4,2,4,Lamar Jackson,8065.6,4365.2,5042.0,2785.9,2,5,Derrick Henry,5180.2,4949.6,5717.3,3158.2,4,8,Ladd McConkey,5817.1,4553.0,4759.1,4072.0,1,1,Travis Kelce,4759.1,5189.7,5
jsinykin,6252.5,7283.4,3846.9,2,1,Caleb Williams,7732.7,4615.4,5688.4,2111.8,2,1,Jeremiyah Love,5988.2,4459.7,5336.8,2413.2,4,13,Chris Olave,5963.1,4630.2,5571.0,2434.8,1,3,Harold Fannin,5571.0,5070.6,6
GreyWaedekin27,5350.3,5966.2,3913.2,2,3,Brock Purdy,6421.0,4909.3,5852.5,2708.3,3,8,Christian McCaffrey,6485.3,5936.1,6888.9,3712.8,3,4,Justin Jefferson,8159.1,3542.9,3629.0,3342.1,1,1,Brenton Strange,3629.0,5025.0,7
nchernandez19,4599.0,5617.4,2222.8,2,2,Jordan Love,5939.2,5206.2,6652.0,1832.5,2,5,Bijan Robinson,9404.7,4050.9,4747.0,2426.6,3,6,Marvin Harrison,5169.2,5847.9,6968.6,3232.7,2,3,Brock Bowers,8495.3,4863.6,8
sethfriedman12,4442.8,5369.4,2280.6,1,2,Tyler Shough,5369.4,4082.5,4565.9,2954.5,4,4,Cam Skattebo,5365.0,4478.2,5203.2,2786.5,2,11,George Pickens,6113.3,3858.2,4603.5,2119.0,2,2,George Kittle,4993.4,4244.7,9
Akracoon,4444.3,5091.0,2935.6,2,5,Dak Prescott,5801.4,3427.1,3629.9,2953.8,2,4,Bhayshul Tuten,3691.7,3985.1,4787.4,2113.1,4,4,Malik Nabers,7788.5,3692.9,3966.3,3054.9,1,3,David Njoku,3966.3,3924.9,10
