name,position,age,KTC Value,multi_year_prod_score,combined_score,tier,sell_score
Jalen Royals,WR,23,1862.0,558.6,1471.0,Replaceable,0.775
KC Concepcion,WR,21,4522.0,1356.6,3572.4,Jag Developmental,0.735
Ja'Kobi Lane,WR,22,2385.0,715.5,1884.2,Jag Developmental,0.735
Antonio Williams,WR,21,2992.0,897.6,2363.7,Jag Developmental,0.735
Drew Allar,QB,22,1590.0,477.0,1256.1,Replaceable,0.655
Kyle Williams,WR,23,2416.0,2495.4,2439.8,Jag Developmental,0.5657
Troy Franklin,WR,23,2654.0,3745.4,2981.4,Jag Developmental,0.5441
Elic Ayomanor,WR,23,2602.0,3441.2,2853.8,Serviceable,0.508
Josh Downs,WR,24,3610.0,4861.8,3985.5,Serviceable,0.5069
Isaac TeSlaa,WR,24,2811.0,3985.7,3163.4,Serviceable,0.5038
Ricky Pearsall,WR,25,3444.0,5088.1,3937.2,Serviceable,0.5014
Kayshon Boutte,WR,24,2626.0,4055.9,3055.0,Serviceable,0.499
Christian Watson,WR,27,3751.0,5431.2,4255.1,Mainstay,0.4976
Mark Andrews,TE,30,2748.0,7739.9,4245.6,Serviceable,0.4896
Kaleb Johnson,RB,22,2390.0,427.9,1801.4,Jag Developmental,0.465
Jonah Coleman,RB,22,3148.0,944.4,2486.9,Jag Developmental,0.465
Jayden Higgins,WR,23,3404.0,3893.8,3550.9,Upside Shot,0.4279
Jonathon Brooks,RB,22,3203.0,960.9,2530.4,Upside Shot,0.335
T.J. Hockenson,TE,28,2784.0,7738.1,4270.2,Mainstay,0.335
Tyler Allgeier,RB,26,2744.0,3572.7,2992.6,Serviceable,0.314
Isaiah Davis,RB,24,1844.0,2148.6,1935.4,Jag Insurance,0.3065
Bryce Young,QB,24,4469.0,5624.9,4815.8,Upside Shot,0.3012
Tyrone Tracy,RB,26,2666.0,4616.2,3251.1,Serviceable,0.2981
Tyjae Spears,RB,24,2590.0,3866.1,2972.8,Serviceable,0.2308
Terrance Ferguson,TE,23,2623.0,4284.4,3121.4,Upside Shot,0.196
Kyren Williams,RB,25,4834.0,7545.1,5647.3,Mainstay,0.1484
Tetairoa McMillan,WR,23,6540.0,5944.4,6361.3,Foundational,0.1
Carnell Tate,WR,21,5899.0,1769.7,4660.2,Upside Premier,0.08
Rome Odunze,WR,24,5401.0,4930.3,5259.8,Upside Premier,0.08
Cam Ward,QB,24,5428.0,4950.1,5284.6,Upside Premier,0.08
Trey McBride,TE,26,7556.0,9243.2,8062.2,Cornerstone,0.05
Drake Maye,QB,23,9374.0,7442.7,8794.6,Cornerstone,0.05
Puka Nacua,WR,25,8609.0,9485.9,8872.1,Cornerstone,0.05
Jahmyr Gibbs,RB,24,9679.0,8489.2,9322.1,Cornerstone,0.05
